mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_events,n_pre,n_post,has_post_omori_fit
M2,44,30,mainshock_window,2.5,158,2,155,True
M2,44,30,stratified,,521,4,516,True
M2,44,30,stratified,1.2,355,1,353,True
M2,44,30,stratified,1.5,235,0,234,True
M2,44,30,stratified,2.0,123,0,122,True
M2,44,30,stratified,2.5,56,0,55,True
M2,44,60,all,,1951,64,1886,True
M2,44,60,all,1.2,1295,31,1263,True
M2,44,60,all,1.5,786,16,769,True
M2,44,60,all,2.0,375,6,368,True
M2,44,60,all,2.5,176,2,173,True
M2,44,60,mainshock_window,,1947,64,1882,True
M2,44,60,mainshock_window,1.2,1291,31,1259,True
M2,44,60,mainshock_window,1.5,783,16,766,True
M2,44,60,mainshock_window,2.0,374,6,367,True
M2,44,60,mainshock_window,2.5,175,2,172,True
M2,44,60,stratified,,636,8,627,True
M2,44,60,stratified,1.2,417,2,414,True
M2,44,60,stratified,1.5,273,0,272,True
M2,44,60,stratified,2.0,147,0,146,True
M2,44,60,stratified,2.5,68,0,67,True
M2,44,90,all,,2086,68,2017,True
M2,44,90,all,1.2,1377,32,1344,True
M2,44,90,all,1.5,838,17,820,True
M2,44,90,all,2.0,397,7,389,True
M2,44,90,all,2.5,183,2,180,True
M2,44,90,mainshock_window,,2081,68,2012,True
M2,44,90,mainshock_window,1.2,1372,32,1339,True
M2,44,90,mainshock_window,1.5,835,17,817,True
M2,44,90,mainshock_window,2.0,396,7,388,True
M2,44,90,mainshock_window,2.5,182,2,179,True
M2,44,90,stratified,,684,11,672,True
M2,44,90,stratified,1.2,441,2,438,True
M2,44,90,stratified,1.5,288,0,287,True
M2,44,90,stratified,2.0,158,0,157,True
M2,44,90,stratified,2.5,74,0,73,True
M2,50,7,all,,1046,10,1035,False
M2,50,7,all,1.2,789,5,783,False
M2,50,7,all,1.5,520,4,515,False
M2,50,7,all,2.0,258,1,256,False
M2,50,7,all,2.5,123,1,121,False
M2,50,7,mainshock_window,,1043,10,1032,False
M2,50,7,mainshock_window,1.2,786,5,780,False
M2,50,7,mainshock_window,1.5,518,4,513,False
M2,50,7,mainshock_window,2.0,256,1,254,False
M2,50,7,mainshock_window,2.5,121,1,119,False
M2,50,7,stratified,,360,3,356,False
M2,50,7,stratified,1.2,272,0,271,False
M2,50,7,stratified,1.5,184,0,183,False
M2,50,7,stratified,2.0,97,0,96,False
M2,50,7,stratified,2.5,45,0,44,False
M2,50,30,all,,1732,64,1667,True
M2,50,30,all,1.2,1200,34,1165,True
M2,50,30,all,1.5,760,21,738,True
M2,50,30,all,2.0,366,7,358,True
M2,50,30,all,2.5,175,3,171,True
M2,50,30,mainshock_window,,1717,62,1654,True
M2,50,30,mainshock_window,1.2,1186,33,1152,True
M2,50,30,mainshock_window,1.5,752,20,731,True
M2,50,30,mainshock_window,2.0,362,7,354,True
M2,50,30,mainshock_window,2.5,172,3,168,True
M2,50,30,stratified,,547,4,542,True
M2,50,30,stratified,1.2,377,1,375,True
M2,50,30,stratified,1.5,248,0,247,True
M2,50,30,stratified,2.0,129,0,128,True
M2,50,30,stratified,2.5,56,0,55,True
M2,50,60,all,,2188,79,2108,True
M2,50,60,all,1.2,1478,44,1433,True
M2,50,60,all,1.5,909,24,884,True
M2,50,60,all,2.0,427,7,419,True
M2,50,60,all,2.5,198,3,194,True
M2,50,60,mainshock_window,,2164,76,2087,True
M2,50,60,mainshock_window,1.2,1455,42,1412,True
M2,50,60,mainshock_window,1.5,895,23,871,True
