interval_id,r_km,azimuth_center_deg,K_value,L_value
0,5.0,17.5,389.6904398904792,6.137428768277253
0,5.0,22.5,545.5666158466709,8.177983434343423
0,5.0,27.5,506.59757185762294,7.698622580381885
0,5.0,32.5,1013.1951437152459,12.95856427663329
0,5.0,37.5,1130.1022756823897,13.966357761797713
0,5.0,42.5,1792.5760234962042,18.887123519060825
0,5.0,47.5,1363.9165396166773,15.836221310246593
0,5.0,52.5,1324.9474956276292,15.536403933812977
0,5.0,57.5,935.25705573715,12.254030455643672
0,5.0,62.5,1052.164187704294,13.300662906977287
0,5.0,67.5,1285.9784516385814,15.232144092406127
0,5.0,72.5,935.25705573715,12.254030455643672
0,5.0,77.5,740.4118357919104,10.35188611148658
0,5.0,82.5,896.2880117481021,11.890747023368576
0,5.0,87.5,623.5047038247667,9.087856874255914
0,5.0,92.5,506.59757185762294,7.698622580381885
0,5.0,97.5,428.6594838795271,6.681033838033974
0,5.0,102.5,389.6904398904792,6.137428768277253
0,5.0,107.5,389.6904398904792,6.137428768277253
0,5.0,112.5,506.59757185762294,7.698622580381885
0,5.0,117.5,740.4118357919104,10.35188611148658
0,5.0,122.5,779.3808797809584,10.750702814061965
0,5.0,127.5,974.226099726198,12.609821092819892
0,5.0,132.5,740.4118357919104,10.35188611148658
0,5.0,137.5,818.3499237700063,11.139667626495424
0,5.0,142.5,896.2880117481021,11.890747023368576
0,5.0,147.5,506.59757185762294,7.698622580381885
0,5.0,152.5,350.72139590143126,5.565892655691934
0,5.0,157.5,623.5047038247667,9.087856874255914
0,5.0,162.5,506.59757185762294,7.698622580381885
0,5.0,167.5,740.4118357919104,10.35188611148658
0,5.0,172.5,584.5356598357188,8.640508764436706
0,5.0,177.5,857.3189677590542,11.519476476286695
0,8.0,2.5,1013.1951437152459,9.95856427663329
0,8.0,7.5,857.3189677590542,8.519476476286695
0,8.0,12.5,740.4118357919104,7.35188611148658
0,8.0,17.5,935.25705573715,9.254030455643672
0,8.0,22.5,740.4118357919104,7.35188611148658
0,8.0,27.5,662.4737478138146,6.521430482785247
0,8.0,32.5,1247.0094076495334,11.923238256343751
0,8.0,37.5,1714.6379355181084,15.362067676067948
0,8.0,42.5,3156.4925631128817,23.69767796707581
0,8.0,47.5,2299.1735953538273,19.052720481568088
0,8.0,52.5,2377.1116833319234,19.507419896594147
0,8.0,57.5,1480.823671583821,13.710845546871479
0,8.0,62.5,1714.6379355181084,15.362067676067948
0,8.0,67.5,1792.5760234962042,15.887123519060825
0,8.0,72.5,1285.9784516385814,12.232144092406127
0,8.0,77.5,857.3189677590542,8.519476476286695
0,8.0,82.5,1169.0713196714375,11.29059249233546
0,8.0,87.5,857.3189677590542,8.519476476286695
0,8.0,92.5,740.4118357919104,7.35188611148658
0,8.0,97.5,818.3499237700063,8.139667626495424
0,8.0,102.5,701.4427918028625,6.942428692257813
0,8.0,107.5,974.226099726198,9.609821092819892
0,8.0,112.5,1130.1022756823897,10.966357761797713
0,8.0,117.5,1324.9474956276292,12.536403933812977
0,8.0,122.5,1714.6379355181084,15.362067676067948
0,8.0,127.5,2104.328375408588,17.881045683465512
0,8.0,132.5,2182.2664633866834,18.355966868686846
0,8.0,137.5,1675.6688915290606,15.095063848024626
0,8.0,142.5,1792.5760234962042,15.887123519060825
0,8.0,147.5,1324.9474956276292,12.536403933812977
0,8.0,152.5,1052.164187704294,10.300662906977287
0,8.0,157.5,1441.854627594773,13.423271981732018
0,8.0,162.5,1324.9474956276292,12.536403933812977
0,8.0,167.5,1130.1022756823897,10.966357761797713
0,8.0,172.5,818.3499237700063,8.139667626495424
0,8.0,177.5,1208.0403636604856,11.609466863283007
0,12.0,2.5,1130.1022756823897,6.966357761797713
