ot,lat,lon,dep,mag,source_day,ot_utc
2019-07-04T18:10:32.170000Z,35.66206,-117.52112,13.97,3.81,20190704,2019-07-04T18:10:32.170000Z
2019-07-04T18:11:22.460000Z,35.60019,-117.58789,11.06,2.69,20190704,2019-07-04T18:11:22.460000Z
2019-07-04T18:11:39.803000Z,35.73024,-117.52711,2.92,2.22,20190704,2019-07-04T18:11:39.803000Z
2019-07-04T18:11:49.855000Z,35.67,-117.5182,10.7,2.25,20190704,2019-07-04T18:11:49.855000Z
2019-07-04T18:12:16.368000Z,35.71517,-117.46818,0.0,1.8,20190704,2019-07-04T18:12:16.368000Z
2019-07-04T18:12:40.995000Z,35.63498,-117.52086,0.0,1.75,20190704,2019-07-04T18:12:40.995000Z
2019-07-04T18:12:51.634000Z,35.67373,-117.54736,10.69,3.56,20190704,2019-07-04T18:12:51.634000Z
2019-07-04T18:13:43.083000Z,35.60892,-117.66491,0.0,2.22,20190704,2019-07-04T18:13:43.083000Z
2019-07-04T18:13:51.029000Z,35.71375,-117.46596,6.57,3.53,20190704,2019-07-04T18:13:51.029000Z
2019-07-04T18:14:34.557000Z,35.71169,-117.47074,3.57,1.84,20190704,2019-07-04T18:14:34.557000Z
2019-07-04T18:14:48.223000Z,36.1889,-117.57615,6.52,2.45,20190704,2019-07-04T18:14:48.223000Z
2019-07-04T18:15:04.456000Z,35.61818,-117.581,11.89,2.54,20190704,2019-07-04T18:15:04.456000Z
2019-07-04T18:15:12.713000Z,35.67275,-117.50441,5.09,3.12,20190704,2019-07-04T18:15:12.713000Z
2019-07-04T18:16:04.339000Z,35.70449,-117.46826,11.45,2.08,20190704,2019-07-04T18:16:04.339000Z
2019-07-04T18:16:33.425000Z,35.72863,-117.5227,7.6,3.07,20190704,2019-07-04T18:16:33.425000Z
2019-07-04T18:17:15.039000Z,35.72407,-117.51931,7.18,2.96,20190704,2019-07-04T18:17:15.039000Z
2019-07-04T18:17:55.723000Z,35.74005,-117.50893,10.92,1.95,20190704,2019-07-04T18:17:55.723000Z
2019-07-04T18:18:12.674000Z,35.57283,-117.60848,0.98,1.85,20190704,2019-07-04T18:18:12.674000Z
2019-07-04T18:18:17.974000Z,35.7593,-117.50274,4.84,2.02,20190704,2019-07-04T18:18:17.974000Z
2019-07-04T18:18:45.167000Z,35.63685,-117.59642,14.06,3.39,20190704,2019-07-04T18:18:45.167000Z
2019-07-04T18:18:52.726000Z,35.49231,-116.98718,0.0,3.17,20190704,2019-07-04T18:18:52.726000Z
2019-07-04T18:19:00.564000Z,35.36799,-117.95665,24.1,2.9,20190704,2019-07-04T18:19:00.564000Z
2019-07-04T18:19:21.668000Z,35.64712,-117.53389,4.73,2.35,20190704,2019-07-04T18:19:21.668000Z
2019-07-04T18:19:57.855000Z,35.70298,-117.48181,8.81,2.08,20190704,2019-07-04T18:19:57.855000Z
2019-07-04T18:20:07.132000Z,35.67771,-117.49543,8.01,2.26,20190704,2019-07-04T18:20:07.132000Z
2019-07-04T18:20:20.138000Z,35.70966,-117.47165,7.25,2.39,20190704,2019-07-04T18:20:20.138000Z
2019-07-04T18:20:44.055000Z,35.78812,-117.47576,0.0,1.85,20190704,2019-07-04T18:20:44.055000Z
2019-07-04T18:21:01.287000Z,35.75822,-117.52396,11.66,2.13,20190704,2019-07-04T18:21:01.287000Z
2019-07-04T18:21:13.845000Z,35.79955,-117.46858,0.0,2.06,20190704,2019-07-04T18:21:13.845000Z
2019-07-04T18:21:25.056000Z,35.68409,-117.49271,7.09,2.74,20190704,2019-07-04T18:21:25.056000Z
2019-07-04T18:21:50.374000Z,35.73914,-117.53644,2.78,2.09,20190704,2019-07-04T18:21:50.374000Z
2019-07-04T18:22:04.683000Z,35.68123,-117.51614,6.71,2.29,20190704,2019-07-04T18:22:04.683000Z
2019-07-04T18:22:08.858000Z,35.62187,-117.67996,3.33,1.62,20190704,2019-07-04T18:22:08.858000Z
2019-07-04T18:22:26.259000Z,35.72863,-117.53331,6.65,1.95,20190704,2019-07-04T18:22:26.259000Z
2019-07-04T18:22:42.053000Z,35.69496,-117.46006,10.21,2.1,20190704,2019-07-04T18:22:42.053000Z
2019-07-04T18:22:57.263000Z,35.64881,-117.51611,0.0,1.93,20190704,2019-07-04T18:22:57.263000Z
2019-07-04T18:23:02.682000Z,35.36973,-117.42049,22.75,2.12,20190704,2019-07-04T18:23:02.682000Z
2019-07-04T18:23:08.193000Z,35.73691,-116.98532,0.0,2.36,20190704,2019-07-04T18:23:08.193000Z
2019-07-04T18:23:21.123000Z,35.69613,-117.68463,1.33,1.67,20190704,2019-07-04T18:23:21.123000Z
2019-07-04T18:23:34.605000Z,35.73493,-117.51936,3.58,2.11,20190704,2019-07-04T18:23:34.605000Z
2019-07-04T18:23:45.273000Z,35.56394,-117.6182,14.69,1.84,20190704,2019-07-04T18:23:45.273000Z
2019-07-04T18:24:11.837000Z,35.67027,-117.50897,5.57,1.33,20190704,2019-07-04T18:24:11.837000Z
