node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude,along_km,across_km,along_bin
2216,2.0,1.0,730,189,2.072063492063492,0.7525939309559857,0.758627778901988,0.054070415241816217,0.6575133218912234,0.8698931465663899,robust,1.0,post_separator,5.0,-117.52146969585583,35.73047809246716,8.08696663234045,-1.4355460997449256,"(8.0, 9.0]"
2159,1.0,0.0,782,202,2.0834653465346533,0.7380119907836872,0.7430446180901672,0.05443287919391506,0.6456635555748015,0.8538729300299791,robust,1.0,post_separator,5.0,-117.53252439153752,35.72146686561311,8.16710601890749,-0.023604996610429474,"(8.0, 9.0]"
2102,0.0,-1.0,747,189,2.071851851851852,0.752870048885252,0.7576339628872313,0.05827341866967939,0.6550574879206916,0.8794943502574502,robust,1.0,post_separator,5.0,-117.54357659758901,35.712454609821535,8.24724540547453,1.3883361065240671,"(8.0, 9.0]"
2045,-1.0,-2.0,654,160,2.0311250000000003,0.8100619853639572,0.8165911117650961,0.06812762938162979,0.7006624918853938,0.9503145037165958,robust,1.0,post_separator,5.0,-117.5546263151152,35.70344132565421,8.32738479204157,2.8002772096585633,"(8.0, 9.0]"
1988,-2.0,-3.0,358,77,2.0603896103896107,0.7681331137372315,0.773483522555666,0.09190078669497964,0.6159013326160065,0.980793276832841,moderately_uncertain,1.0,post_separator,5.0,-117.56567354522072,35.694427013672644,8.40752417860861,4.212218312793059,"(8.0, 9.0]"
2274,4.0,2.0,505,116,2.027068965517241,0.8162371986516078,0.8289685265321423,0.0792755402163891,0.6838645436203267,0.9927331692721711,robust,1.0,post_separator,5.0,-117.49935781469851,35.73948473588458,8.672728104057137,-3.5935274477301906,"(8.0, 9.0]"
2217,3.0,1.0,722,174,2.0325287356321837,0.8079465396254233,0.8121225136850985,0.06560399603715304,0.6991266704537361,0.9573380564784375,robust,1.0,post_separator,5.0,-117.51041624569051,35.730475554407754,8.752867490624178,-2.1815863445956936,"(8.0, 9.0]"
2160,2.0,0.0,774,186,2.036559139784946,0.8019336209074247,0.8068685056175807,0.06365192360451265,0.6975331711440228,0.9333232298448638,robust,1.0,post_separator,5.0,-117.52147218576638,35.72146534305765,8.833006877191218,-0.7696452414611974,"(8.0, 9.0]"
2103,1.0,-1.0,778,189,2.0457671957671955,0.7885264141381876,0.7914877235317639,0.05926550305197845,0.6931328687109894,0.9250748180819339,robust,1.0,post_separator,5.0,-117.532525636031,35.71245410239643,8.913146263758257,0.6422958616732988,"(8.0, 9.0]"
2046,0.0,-2.0,746,179,2.0094413407821228,0.8442060298711201,0.8504750058897264,0.06822875834138674,0.7261848064042671,1.002015545481623,robust,1.0,post_separator,5.0,-117.54357659758901,35.703441832985966,8.993285650325298,2.0542369648077954,"(8.0, 9.0]"
