time,latitude,longitude,depth_km,magnitude,event_id,phase,pre_M1_sensitivity
2020-01-03 22:57:06.840,38.89,142.373,34.0,1.8,195,pre_M1_reference,pre_M1_reference_7d
2020-01-03 23:21:18.120,38.296,140.769,11.3,0.8,196,pre_M1_reference,pre_M1_reference_7d
2020-01-03 23:27:49.270,38.46,142.193,18.0,1.2,197,pre_M1_reference,pre_M1_reference_7d
2020-01-03 23:29:24.020,38.7,142.402,37.1,1.7,198,pre_M1_reference,pre_M1_reference_7d
2020-01-04 00:09:15.180,38.921,142.355,36.1,1.1,199,pre_M1_reference,pre_M1_reference_7d
2020-01-04 00:44:55.640,42.732,142.145,102.9,1.0,200,pre_M1_reference,pre_M1_reference_7d
2020-01-04 00:50:54.130,40.831,142.66,31.0,2.9,201,pre_M1_reference,pre_M1_reference_7d
2020-01-04 01:23:58.170,39.996,140.788,113.5,1.7,202,pre_M1_reference,pre_M1_reference_7d
2020-01-04 02:06:52.400,42.858,145.038,47.1,1.4,203,pre_M1_reference,pre_M1_reference_7d
2020-01-04 02:09:56.380,42.692,143.611,31.4,0.8,204,pre_M1_reference,pre_M1_reference_7d
2020-01-04 02:23:59.260,42.33,141.997,96.9,3.5,205,pre_M1_reference,pre_M1_reference_7d
2020-01-04 02:40:37.380,40.127,142.052,49.1,1.0,206,pre_M1_reference,pre_M1_reference_7d
2020-01-04 03:42:57.460,39.039,140.875,6.9,0.2,207,pre_M1_reference,pre_M1_reference_7d
2020-01-04 03:51:11.590,39.042,140.791,10.2,1.2,208,pre_M1_reference,pre_M1_reference_7d
2020-01-04 04:11:05.670,38.712,141.356,75.8,1.0,209,pre_M1_reference,pre_M1_reference_7d
2020-01-04 05:29:40.230,38.879,141.945,45.6,0.6,210,pre_M1_reference,pre_M1_reference_7d
2020-01-04 05:44:33.510,42.006,141.477,86.0,2.5,211,pre_M1_reference,pre_M1_reference_7d
2020-01-04 06:05:50.480,39.05,143.95,4.0,2.1,212,pre_M1_reference,pre_M1_reference_7d
2020-01-04 06:21:51.830,38.034,143.743,46.0,3.2,213,pre_M1_reference,pre_M1_reference_7d
2020-01-04 06:27:15.850,38.451,142.227,25.6,2.0,214,pre_M1_reference,pre_M1_reference_7d
2020-01-04 06:41:24.270,42.86,145.347,50.8,0.8,215,pre_M1_reference,pre_M1_reference_7d
2020-01-04 06:50:24.150,42.306,142.655,71.1,0.7,216,pre_M1_reference,pre_M1_reference_7d
2020-01-04 07:12:27.420,39.083,140.553,10.0,0.7,217,pre_M1_reference,pre_M1_reference_7d
2020-01-04 08:07:38.240,38.877,141.545,98.5,0.6,218,pre_M1_reference,pre_M1_reference_7d
2020-01-04 08:11:36.770,39.924,142.491,33.6,1.8,219,pre_M1_reference,pre_M1_reference_7d
2020-01-04 08:31:01.500,39.045,140.9,5.8,0.2,220,pre_M1_reference,pre_M1_reference_7d
2020-01-04 08:50:31.110,41.924,142.364,71.3,1.1,221,pre_M1_reference,pre_M1_reference_7d
2020-01-04 08:59:42.250,38.712,142.166,45.0,2.5,222,pre_M1_reference,pre_M1_reference_7d
