fault_id,n_vertices,min_lon,max_lon,min_lat,max_lat,min_x_km,max_x_km,min_y_km,max_y_km,mean_strike_deg
27,6,-117.375363266801,-117.375348408202,35.5754300171816,35.57546031714,15.829865320159719,15.831218139328879,-18.24540371975708,-18.242044301162576,158.13624379640905
28,4,-117.375322987066,-117.375318200874,35.5754517259165,35.5754637327651,15.83351578107065,15.833951988782282,-18.242990242788995,-18.24165884141352,161.86274576805033
29,5,-117.375320289999,-117.375300906911,35.5754252993381,35.5754492860557,15.833763101986444,15.835524798591573,-18.24591951239975,-18.243261284780434,146.46648021890724
30,10,-117.37526327568,-117.375220721559,35.5754003566412,35.575470934536,15.838926866295154,15.842798075858022,-18.248674001128045,-18.24085016985079,153.62138938221412
31,3,-117.375358628098,-117.37535772428,35.5753987855256,35.5754125253678,15.830296759702545,15.830379841389092,-18.248870407491193,-18.24734605213131,177.8931865270527
32,4,-117.375355217869,-117.375352493823,35.575387627637,35.5754046697897,15.830609232061073,15.830852794279727,-18.250107983410583,-18.248216698982162,7.337772234929649
33,4,-117.375349766179,-117.375347074508,35.5753829214847,35.5754068344579,15.831104325103054,15.831343598893993,-18.25062925745262,-18.247975653220983,5.152297575816237
34,5,-117.375369283266,-117.375367604232,35.5753981766845,35.5754133545427,15.829332202731848,15.829481407876903,-18.248939821973647,-18.247255551498114,5.051492504387984
35,4,-117.375364113063,-117.375360881799,35.5753997765785,35.5754163717682,15.82979726870622,15.830093434387035,-18.248760957986832,-18.24692022439794,170.8607926533194
36,5,-117.375393888717,-117.37538416075,35.5754323401304,35.5754517771778,15.827091295904962,15.82797691087862,-18.24515174801127,-18.24299675401185,157.6572153819731
37,3,-117.375414475997,-117.37540760158,35.5754618954502,35.5754711791516,15.825221352063739,15.825846308141394,-18.24187633022423,-18.240847401050935,148.7255443191519
38,4,-117.375413859962,-117.375412126968,35.5754852112735,35.5754973782015,15.82527366802274,15.825429935925559,-18.239290221899914,-18.237940268996955,0.18280716660806867
39,4,-117.375421747915,-117.375417481531,35.5754767513511,35.5754897627424,15.824558533359165,15.824947819736686,-18.240229643685332,-18.238786703011495,164.925210517077
40,7,-117.375302766709,-117.375286219184,35.5753842641725,35.5754109794332,15.835359040266727,15.836862329500846,-18.250470061321064,-18.247508621274008,153.27130524475098
41,3,-117.375280057029,-117.37527368803,35.5753745685815,35.5753880053522,15.837422075924604,15.838002039272329,-18.251543756406686,-18.25005395904939,158.73053477125939
42,7,-117.375265962854,-117.375255669214,35.5753427065007,35.5753713022439,15.83870292811076,15.83964162738152,-18.25507598327581,-18.251904914423463,163.4932775749587
43,5,-117.375271913668,-117.375266548313,35.5753463928218,35.5753698516374,15.83816380524784,15.838654769484629,-18.254668736297255,-18.25206682037193,169.29272982519737
44,5,-117.375276105408,-117.375262311606,35.5754146828414,35.5754422668472,15.8377695735036,15.83902534260049,-18.247091201151026,-18.24403294995283,157.69873293587847
45,3,-117.37523502078,-117.375229712981,35.5753747061778,35.5753858550732,15.841504789035183,15.841988110026602,-18.251521398190036,-18.25028527219109,158.64482636865063
46,5,-117.375231514323,-117.375213003577,35.5753608746047,35.5753851500047,15.84182276916223,15.843505453437102,-18.253053331108486,-18.250362934769885,147.99699368636473
47,9,-117.37521955334,-117.375189230898,35.5753347537959,35.5753753105222,15.842908906802968,15.845665468338135,-18.255947628362208,-18.25145270684553,148.52308426123136
48,13,-117.375349877695,-117.375279487758,35.5753034124226,35.5753696088204,15.831096839669042,15.837490350569928,-18.25943954475449,-18.252106330010044,139.26569331399207
49,6,-117.375331839093,-117.375327709406,35.5753437668014,35.5753706673225,15.832731731898503,15.833110237315728,-18.25497015039844,-18.25198598048902,174.85988664393722
50,3,-117.375321470809,-117.375317047044,35.5753549669582,35.5753644008465,15.833672795062217,15.834075644265955,-18.253725568493202,-18.252679581462708,158.94285251944484
51,3,-117.37520472172,-117.375199574001,35.5754114434834,35.5754255988124,15.844243395973866,15.84471279957906,-18.247440492692345,-18.24587077393023,163.3515858845198
52,3,-117.375250923491,-117.375249143733,35.5754048469562,35.5754145758221,15.840057633572908,15.84022008638182,-18.248180490039257,-18.24710123857537,174.55792665511146
53,2,-117.375252487412,-117.375249827218,35.5754048469562,35.5754119947678,15.839916381559311,15.840158922576821,-18.248180490039257,-18.247387861568,162.98610706079972
54,3,-117.375280131673,-117.37527754792,35.5753960246069,35.5754132061546,15.837412178617603,15.837644545745206,-18.249164050591897,-18.247257498027707,3.992398780458492
55,3,-117.375331178091,-117.375330315642,35.575416759376,35.5754239170802,15.832782566014878,15.832860121156276,-18.246871910458513,-18.24607767594471,3.097163572672243
56,5,-117.37532218667,-117.375290915443,35.575386826341,35.5754049063114,15.833599924446139,15.83643805256838,-18.250186522399083,-18.24818557147041,125.18581244027328
57,6,-117.375197468688,-117.375155639421,35.5752323722762,35.5752605840088,15.844933383109007,15.848730547442255,-18.26730154945635,-18.264178175729207,129.4400758164017
58,4,-117.375066488727,-117.375050960134,35.5751771601978,35.5752010165137,15.856817772721852,15.858230066092526,-18.27341049367702,-18.270766116596853,151.86418916409718
59,3,-117.375056310201,-117.375042085624,35.575190212958,35.5751974686883,15.857741102641741,15.859031917700399,-18.27196084293093,-18.271158108413378,121.87560795521166
60,2,-117.372250433511,-117.372244656266,35.5720303891912,35.5720441488185,16.11271408285683,16.113235021315916,-18.622092276788713,-18.620564684336504,18.830365217629776
61,3,-117.375114323667,-117.375103525507,35.5752532896077,35.575276873429,15.852466821885168,15.853450270337257,-18.264972338657913,-18.262357430904814,159.3889366513498
62,4,-117.375105715356,-117.375087123672,35.5752300088579,35.5752721771693,15.853248045739187,15.854941602987966,-18.267552715650456,-18.262877096647074,160.08871189774868
63,6,-117.375202787279,-117.375171782252,35.5753496150927,35.5753858766569,15.84442657508573,15.847244162547705,-18.25429593627728,-18.250277678255415,144.95925189186005
64,5,-117.375169703019,-117.375163137069,35.5753363294081,35.5753542016352,15.847431729134486,15.848030421750373,-18.255768602562163,-18.253786718932776,163.24397385440577
65,5,-117.375201162204,-117.375187770399,35.5753590121088,35.575375145047,15.844575995393754,15.845793070811007,-18.253255906559673,-18.25146809989924,145.7537805514829
66,9,-117.375195500072,-117.375167418741,35.5753155622634,35.5753632820898,15.84509157603657,15.847646407246183,-18.258073430670265,-18.25278339450076,154.20614061644704
67,7,-117.37521067793,-117.375188478166,35.5753229394022,35.5753492068005,15.843718561305062,15.845736029255717,-18.25725832674564,-18.25434751153102,145.2613956237413
68,8,-117.375187970049,-117.375172223819,35.5752935036923,35.5753266625954,15.845781353084893,15.84721520329382,-18.26052162836076,-18.256845152441606,158.52293259890328
69,4,-117.37517085595,-117.375161135178,35.5752829456515,35.575300807986,15.847337752692663,15.848222411425064,-18.261691265341103,-18.25971098834829,155.9461108015346
70,3,-117.375228352307,-117.375227092356,35.5753003475331,35.5753126556546,15.84212475420313,15.842240315913942,-18.259771147956684,-18.258405614361244,178.32767842211078
71,4,-117.375211947773,-117.375209804689,35.5752752087839,35.5752906618346,15.843616383626685,15.843812306743715,-18.26255753100399,-18.260843264590164,174.9428619508356
72,6,-117.375224150674,-117.375212135731,35.5752487210517,35.5752705844699,15.842512831737695,15.843606233024907,-18.26549674965144,-18.26307291766873,155.796661802786
73,6,-117.37527789326,-117.375273691628,35.5752615543773,35.575298328555,15.837635885269961,15.838023989070875,-18.264082805736237,-18.260003348284002,174.51849150604164
74,9,-117.375265573447,-117.375256984922,35.5752480096879,35.5752863423908,15.838754972724873,15.83954103281193,-18.26558290968213,-18.261331239658833,169.52095975744757
75,5,-117.375240201774,-117.375235402092,35.5752559327152,35.575278708046,15.841060773873426,15.841491349295977,-18.264701134573063,-18.262173412800784,9.653012647455677
76,2,-117.37524902862,-117.375248296572,35.5752634942149,35.5752703623374,15.840257822756012,15.840325532945437,-18.26386348346039,-18.263101575871584,174.92150605150448
77,2,-117.375185742428,-117.375183255803,35.5753299703019,35.5753374049973,15.845981156403315,15.846208021666834,-18.25647739826761,-18.255652911900913,164.61525248376526
78,5,-117.375180986813,-117.37517252779,35.575321414152,35.5753319802867,15.846413296929779,15.847182145415468,-18.257424981582112,-18.256254022209234,146.63413882117715
79,4,-117.375150604117,-117.375138967789,35.5753010508029,35.5753164732767,15.8491703824449,15.850228194975738,-18.259678902165106,-18.257969639657986,148.24803070951154
80,7,-117.3751489017,-117.375116193358,35.5753011218493,35.5753273577714,15.849322550407807,15.852292560558803,-18.259667344097057,-18.256761718439268,134.362390675161
81,2,-117.375106961817,-117.375096221214,35.5753013268948,35.5753128867804,15.853127028898653,15.854102887464416,-18.2596413705299,-18.258360522269072,142.69678260701284
82,4,-117.375075324567,-117.375055774205,35.5752316015572,35.5752534397944,15.856006505651788,15.857782951637816,-18.26737094305959,-18.264951123150706,143.74755511122655
83,2,-117.375066548982,-117.375061609006,35.5752053881182,35.5752129595105,15.856809954082001,15.85725923099727,-18.270280294550894,-18.269441037878977,151.83864589698143
84,8,-117.37500782685,-117.374971155195,35.5751196449557,35.5751689125154,15.862141500314989,15.86547532171894,-18.27977898438714,-18.274318618112037,148.6900066074141
85,3,-117.375042311354,-117.375037635778,35.5751623636522,35.5751739738998,15.859016953023557,15.859438478004018,-18.275050790036985,-18.27376186555082,18.0386742779135
86,4,-117.375031444845,-117.375028424023,35.5751526743565,35.5751665571909,15.8600021359217,15.860277679514288,-18.276123585538073,-18.274583337110716,178.3104799476939
87,3,-117.616667555064,-117.616629483164,35.7992904443985,35.7994503438583,-6.026180486646728,-6.022746291212906,6.5806021104136345,6.598345904579177,170.06209623856628
