event_time,latitude,longitude,depth_km,magnitude,event_time_raw,within_intermainshock_window,x_m,y_m
2019-07-05T02:13:51.350000+0000,35.63323379518505,-117.54329670604072,10.79761529,2.8,2019-07-05 02:13:51.350000+00:00,True,450807.99683201814,3943405.843893496
2019-07-05T02:14:38.440000+0000,35.60693179518505,-117.5904138155932,5.13624269,1.17,2019-07-05 02:14:38.440000+00:00,True,446524.29238268296,3940513.292835974
2019-07-05T02:14:51.180000+0000,35.65905179518505,-117.5273805640899,3.27815117,0.85,2019-07-05 02:14:51.180000+00:00,True,452264.4745518515,3946261.4629556243
2019-07-05T02:15:08.400000+0000,35.67532779518505,-117.50034673664577,5.774961650000001,1.09,2019-07-05 02:15:08.400000+00:00,True,454720.6372061545,3948053.8373522875
2019-07-05T02:15:19.430000+0000,35.55132879518505,-117.71139782721691,0.66520997,1.35,2019-07-05 02:15:19.430000+00:00,True,435521.65523139696,3934418.868235052
2019-07-05T02:15:45.960000+0000,35.62961679518505,-117.60095444592446,9.9484094,1.34,2019-07-05 02:15:45.960000+00:00,True,445584.9509745451,3943035.05496157
2019-07-05T02:16:13.310000+0000,35.72649579518505,-117.53400942903497,3.270893,0.75,2019-07-05 02:16:13.310000+00:00,True,451705.13848049304,3953744.9497060473
2019-07-05T02:16:46.970000+0000,35.69859879518505,-117.48638441477306,7.22659565,1.62,2019-07-05 02:16:46.970000+00:00,True,455996.9626627033,3950628.4812493934
2019-07-05T02:17:25.590000+0000,35.60197179518505,-117.59385545936988,6.23948453,1.49,2019-07-05 02:17:25.590000+00:00,True,446209.24825340457,3939965.0587403416
2019-07-05T02:17:53.910000+0000,35.72835479518505,-117.54646056335994,3.89509562,1.02,2019-07-05 02:17:53.910000+00:00,True,450580.21756185585,3953957.333576875
2019-07-05T02:18:13.810000+0000,35.50675279518505,-117.79240063769927,2.32007273,1.02,2019-07-05 02:18:13.810000+00:00,True,428139.99315332016,3929530.994967775
2019-07-05T02:18:36.630000+0000,35.60563379518505,-117.58430972236344,7.47337343,2.34,2019-07-05 02:18:36.630000+00:00,True,447076.3115142271,3940366.0326880477
2019-07-05T02:19:14.960000+0000,35.60728179518505,-117.59152084073324,4.01848451,1.35,2019-07-05 02:19:14.960000+00:00,True,446424.25768341153,3940552.713235175
2019-07-05T02:19:41.660000+0000,35.77190579518505,-117.61033971373662,4.345102160000001,3.33,2019-07-05 02:19:41.660000+00:00,True,444833.2311797097,3958821.7187562007
2019-07-05T02:20:28.420000+0000,35.72816379518505,-117.55923754955836,4.41768386,1.9,2019-07-05 02:20:28.420000+00:00,True,449424.58390016126,3953942.6604483332
2019-07-05T02:20:59.520000+0000,35.71388979518505,-117.51988951849366,3.72089954,1.37,2019-07-05 02:20:59.520000+00:00,True,452974.72254025505,3952339.948810139
2019-07-05T02:21:16.360000+0000,35.67591779518505,-117.50182777916824,4.61365445,1.43,2019-07-05 02:21:16.360000+00:00,True,454586.94198034826,3948119.9578645322
2019-07-05T02:21:37.540000+0000,35.59483079518505,-117.598281946662,6.892719830000001,2.45,2019-07-05 02:21:37.540000+00:00,True,445803.4831587151,3939175.484809971
2019-07-05T02:22:23.500000+0000,35.68743679518505,-117.507362609614,4.9402721000000005,0.95,2019-07-05 02:22:23.500000+00:00,True,454092.66050749586,3949400.1043378464
2019-07-05T02:22:41.220000+0000,35.69964779518505,-117.48941149046438,8.685487820000002,1.24,2019-07-05 02:22:41.220000+00:00,True,455723.681912591,3950746.1870393
2019-07-05T02:22:59.210000+0000,35.76070379518505,-117.58285690276313,4.991079290000001,1.29,2019-07-05 02:22:59.210000+00:00,True,447309.96019859525,3957564.1602575756
2019-07-05T02:23:27.530000+0000,35.57758579518505,-117.62643870925454,4.36687667,1.33,2019-07-05 02:23:27.530000+00:00,True,443240.647032202,3937278.7246478517
2019-07-05T02:23:31.050000+0000,35.59726379518505,-117.59878712132569,5.390278640000001,2.32,2019-07-05 02:23:31.050000+00:00,True,445759.3619286915,3939445.6049613124
2019-07-05T02:23:55.490000+0000,35.71047979518505,-117.47171227228404,3.78622307,2.93,2019-07-05 02:23:55.490000+00:00,True,457330.6878861857,3951939.731000425
2019-07-05T02:24:28.530000+0000,35.64129479518505,-117.54359828591406,5.963674070000001,1.72,2019-07-05 02:24:28.530000+00:00,True,450785.63283064764,3944300.036486568
2019-07-05T02:25:00.630000+0000,35.64946479518505,-117.5622918738639,8.03951069,1.32,2019-07-05 02:25:00.630000+00:00,True,449098.3844935943,3945215.6872345074
2019-07-05T02:25:03.690000+0000,35.74077379518505,-117.5369244610308,6.31206623,2.12,2019-07-05 02:25:03.690000+00:00,True,451450.1727823491,3955329.9792580176
2019-07-05T02:25:18.300000+0000,35.58758379518505,-117.58707542652836,6.101579300000001,2.05,2019-07-05 02:25:18.300000+00:00,True,446813.865650137,3938365.6151856966
2019-07-05T02:26:05.380000+0000,35.65531179518505,-117.51584829478584,4.054775360000001,2.32,2019-07-05 02:26:05.380000+00:00,True,453306.1429229921,3945841.120502197
2019-07-05T02:27:04.830000+0000,35.74006179518505,-117.5356794095511,5.499151190000001,1.3,2019-07-05 02:27:04.830000+00:00,True,451562.32271149143,3955250.3948092014
2019-07-05T02:27:27.760000+0000,35.656711795185046,-117.52317339558904,6.994334210000002,1.15,2019-07-05 02:27:27.760000+00:00,True,452643.9057500646,3945999.898757497
2019-07-05T02:27:58.000000+0000,35.57953879518505,-117.61677884933832,8.91049109,1.62,2019-07-05 02:27:58.000000+00:00,True,444117.2599069092,3937489.8048740104
2019-07-05T02:28:29.370000+0000,35.68982979518505,-117.50768878219316,2.29104005,1.12,2019-07-05 02:28:29.370000+00:00,True,454064.51940583857,3949665.665103321
2019-07-05T02:28:53.230000+0000,35.56847979518505,-117.63137005628236,6.42093878,0.76,2019-07-05 02:28:53.230000+00:00,True,442787.3551440805,3936271.6415736093
2019-07-05T02:29:12.590000+0000,35.647072795185046,-117.53978170170028,6.994334210000002,0.82,2019-07-05 02:29:12.590000+00:00,True,451134.68680954434,3944938.9686899316
2019-07-05T02:29:29.260000+0000,35.57430279518505,-117.60342447380366,8.62016429,1.33,2019-07-05 02:29:29.260000+00:00,True,445323.6784711965,3936901.589668359
2019-07-05T02:30:10.610000+0000,35.664788795185046,-117.51963297728744,6.5588440100000005,2.52,2019-07-05 02:30:10.610000+00:00,True,452969.11326156434,3946894.017284103
2019-07-05T02:30:50.460000+0000,35.639845795185046,-117.54098618166228,4.265262290000001,1.62,2019-07-05 02:30:50.460000+00:00,True,451021.23629611055,3944138.024197425
2019-07-05T02:31:26.250000+0000,35.63693279518505,-117.58019497210208,9.28791593,0.97,2019-07-05 02:31:26.250000+00:00,True,447469.4821391601,3943835.182757026
2019-07-05T02:31:35.980000+0000,35.74265379518505,-117.54360559696904,7.422566240000001,1.08,2019-07-05 02:31:35.980000+00:00,True,450847.20042438543,3955541.820333747
2019-07-05T02:31:52.590000+0000,35.69421979518505,-117.51244109884564,6.56610218,1.37,2019-07-05 02:31:52.590000+00:00,True,453637.0687151942,3950154.794793415
2019-07-05T02:32:15.480000+0000,35.69047279518505,-117.49244582856872,5.833027010000001,1.63,2019-07-05 02:32:15.480000+00:00,True,455444.06454350863,3949729.9576592753
2019-07-05T02:32:34.910000+0000,35.63705879518505,-117.57826598116584,9.658082600000002,1.59,2019-07-05 02:32:34.910000+00:00,True,447644.2159693822,3943848.1286051045
2019-07-05T02:33:00.450000+0000,35.56080579518505,-117.6103645062238,6.674974730000001,1.13,2019-07-05 02:33:00.450000+00:00,True,444685.55815727555,3935408.5304359137
2019-07-05T02:33:10.140000+0000,35.66650979518505,-117.54041810126228,6.166902830000001,1.06,2019-07-05 02:33:10.140000+00:00,True,451088.92751450284,3947095.040254952
2019-07-05T02:33:19.920000+0000,35.66974079518505,-117.5187143340408,6.087062960000001,1.01,2019-07-05 02:33:19.920000+00:00,True,453055.1577723229,3947442.8039868367
