time,latitude,longitude,depth_km,magnitude
2019-03-13 12:34:17.106000+00:00,36.06915,-117.6875,3.138,1.95
2019-03-13 18:52:33.605000+00:00,36.01049,-117.81082,2.326,0.77
2019-03-13 23:30:49.888000+00:00,36.12517,-117.70422,1.947,1.85
2019-03-13 23:38:05.863000+00:00,36.12494,-117.70402,1.953,1.52
2019-03-14 00:13:34.382000+00:00,35.62187,-117.5779,8.444,1.52
2019-03-14 00:32:22.256000+00:00,36.04613,-117.38185,3.711,1.14
2019-03-14 01:17:20.665000+00:00,36.05663,-117.85879,2.591,1.06
2019-03-14 02:20:06.509000+00:00,36.01127,-117.80677,2.211,0.48
2019-03-14 03:01:12.210000+00:00,36.01168,-117.8062,2.024,1.59
2019-03-14 03:02:44.165000+00:00,36.01147,-117.80631,2.071,0.56
2019-03-14 03:05:25.779000+00:00,36.01142,-117.80631,2.199,0.79
2019-03-14 03:36:11.006000+00:00,36.01404,-117.80639,2.045,0.17
2019-03-14 04:53:27.801000+00:00,36.01536,-117.80639,1.959,1.2
2019-03-14 05:06:40.648000+00:00,36.01391,-117.81199,2.96,-0.04
2019-03-14 06:05:21.185000+00:00,36.01634,-117.80585,1.811,0.32
2019-03-14 07:39:09.461000+00:00,36.06851,-117.68848,3.121,2.35
2019-03-14 07:43:11.420000+00:00,36.01547,-117.80468,1.918,0.15
2019-03-14 07:56:17.031000+00:00,36.0156,-117.80598,1.92,0.98
2019-03-14 09:30:54.957000+00:00,36.06756,-117.68922,3.221,0.77
2019-03-14 11:42:48.933000+00:00,35.53614,-117.50914,6.429,2.41
2019-03-14 16:21:25.447000+00:00,36.12495,-117.70456,1.902,1.58
2019-03-14 16:55:36.187000+00:00,36.02076,-117.80057,1.558,1.03
2019-03-14 17:11:27.011000+00:00,36.05676,-117.9985,5.674,0.38
