mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_total,n_post,rate_ratio,moving_rate_max,post_omori_p,radial_iqr_km,depth_iqr_km,baseline_rate_ratio,baseline_moving_rate_max,baseline_post_omori_p,rate_ratio_delta,sparse_flag
M1,50.0,7.0,mainshock_window,1.2,2187,1702,3.5165289256198347,246.57142857142856,,,,5.408496732026144,271.0,0.6383674259945586,-1.8919678064063095,False
M1,50.0,7.0,mainshock_window,1.5,1867,1490,3.9627659574468086,218.28571428571428,,,,5.408496732026144,271.0,0.6383674259945586,-1.4457307745793355,False
M1,50.0,7.0,mainshock_window,2.0,1000,822,4.6440677966101696,125.28571428571428,,,,5.408496732026144,271.0,0.6383674259945586,-0.7644289354159746,False
M1,50.0,7.0,mainshock_window,2.5,509,408,4.08,65.57142857142857,,,,5.408496732026144,271.0,0.6383674259945586,-1.328496732026144,False
M1,50.0,7.0,stratified,,2256,1743,3.404296875,252.0,,,,5.408496732026144,271.0,0.6383674259945586,-2.004199857026144,False
M1,50.0,7.0,stratified,1.2,2184,1699,3.510330578512397,246.1428571428572,,,,5.408496732026144,271.0,0.6383674259945586,-1.8981661535137473,False
M1,50.0,7.0,stratified,1.5,1864,1487,3.954787234042553,217.8571428571429,,,,5.408496732026144,271.0,0.6383674259945586,-1.4537094979835912,False
M1,50.0,7.0,stratified,2.0,998,820,4.632768361581921,125.0,,,,5.408496732026144,271.0,0.6383674259945586,-0.7757283704442228,False
M1,50.0,7.0,stratified,2.5,509,408,4.08,65.57142857142857,,,,5.408496732026144,271.0,0.6383674259945586,-1.328496732026144,False
M1,50.0,30.0,all,,3261,2717,5.003683241252301,278.0,0.5423577260596635,,,5.408496732026144,271.0,0.6383674259945586,-0.40481349077384277,False
M1,50.0,30.0,all,1.2,3135,2621,5.109161793372319,270.2857142857143,0.5532873506731576,,,5.408496732026144,271.0,0.6383674259945586,-0.2993349386538249,False
M1,50.0,30.0,all,1.5,2558,2161,5.457070707070708,235.8571428571429,0.6114404977773245,,,5.408496732026144,271.0,0.6383674259945586,0.04857397504456351,False
M1,50.0,30.0,all,2.0,1272,1084,5.796791443850268,132.85714285714286,0.7863223483930932,,,5.408496732026144,271.0,0.6383674259945586,0.38829471182412423,False
