interval_id,geometry_type,component_id,vertex_id,longitude,latitude,elapsed_mid_hr
M_15,alpha,2,5,-117.607535051831,35.59629579518506,14.5
M_15,alpha,2,6,-117.60047209009578,35.59682879518505,14.5
M_15,alpha,2,7,-117.59966611371556,35.597157795185055,14.5
M_15,alpha,2,8,-117.59446667883913,35.605027795185045,14.5
M_15,alpha,2,9,-117.592717171329,35.61188379518506,14.5
M_15,alpha,2,10,-117.59525665198343,35.61857279518506,14.5
M_15,alpha,2,11,-117.59254673916351,35.61978579518506,14.5
M_15,alpha,2,12,-117.587452712858,35.61941979518505,14.5
M_15,alpha,2,13,-117.57162407492385,35.624456795185026,14.5
M_15,alpha,2,14,-117.58489627162886,35.61327979518506,14.5
M_15,alpha,2,15,-117.58908659933516,35.603920795185054,14.5
M_15,alpha,3,0,-117.57002964929589,35.63244479518505,14.5
M_15,alpha,3,1,-117.57162407492385,35.624456795185026,14.5
M_15,alpha,3,2,-117.57312265950836,35.63258679518505,14.5
M_15,alpha,3,3,-117.57002964929589,35.63244479518505,14.5
M_15,alpha,4,0,-117.52791735548294,35.65615479518507,14.5
M_15,alpha,4,1,-117.52703040350954,35.65682179518505,14.5
M_15,alpha,4,2,-117.51388777157432,35.661932795185045,14.5
M_15,alpha,4,3,-117.51376625341787,35.668621795185054,14.5
M_15,alpha,4,4,-117.51479975862757,35.675632795185045,14.5
M_15,alpha,4,5,-117.51181489781025,35.69143279518506,14.5
M_15,alpha,4,6,-117.52231335690684,35.69779679518505,14.5
M_15,alpha,4,7,-117.51017170132397,35.70256979518504,14.5
M_15,alpha,4,8,-117.50932640419236,35.71230679518505,14.5
M_15,alpha,4,9,-117.51544566804472,35.71596079518504,14.5
M_15,alpha,4,10,-117.52600066508388,35.71591979518505,14.5
M_15,alpha,4,11,-117.53617353466842,35.71411379518504,14.5
M_15,alpha,4,12,-117.54248089019706,35.71903679518504,14.5
M_15,alpha,4,13,-117.5434659495686,35.719858795185054,14.5
M_15,alpha,4,14,-117.54733116323932,35.72281679518505,14.5
M_15,alpha,4,15,-117.552043703045,35.73028779518504,14.5
M_15,alpha,4,16,-117.56143515803517,35.736582795185065,14.5
M_15,alpha,4,17,-117.56457781030184,35.74560379518506,14.5
M_15,alpha,4,18,-117.5701367172043,35.75813979518504,14.5
M_15,alpha,4,19,-117.5548611749197,35.75064479518505,14.5
M_15,alpha,4,20,-117.55306225326544,35.751727795185055,14.5
M_15,alpha,4,21,-117.55597595538586,35.74760979518506,14.5
M_15,alpha,4,22,-117.55858750311245,35.74135579518505,14.5
M_15,alpha,4,23,-117.54650194804992,35.73367779518505,14.5
M_15,alpha,4,24,-117.53851927565451,35.73820979518505,14.5
M_15,alpha,4,25,-117.54262782713232,35.73200479518504,14.5
M_15,alpha,4,26,-117.541716518704,35.727736795185045,14.5
M_15,alpha,4,27,-117.52780026026107,35.72415979518505,14.5
M_15,alpha,4,28,-117.51903580566744,35.73170779518505,14.5
