station_code,station_number,latitude,longitude,elevation_m,matched
TU.MR3,1114,38.498,140.422333,-40.0,True
TU.MY3,1115,39.593167,141.976667,-220.0,True
TU.NSK,1150,39.731167,140.542,260.0,True
TU.SN3,1148,39.140167,141.763667,105.0,True
TU.SWU,1133,39.489,140.789,445.0,True
TU.TB2,1106,39.198,139.553333,-440.0,True
TU.WYG,1127,38.742333,141.119667,-490.0,True
UCHIUR,5817,,,,False
UONUMA,5854,,,,False
USUKI,625,,,,False
V.AKHC,4836,39.768,140.806833,1205.0,True
V.AYBN,4833,39.945167,140.7195,638.0,True
V.ESKS,4831,41.79,141.149833,-57.0,True
V.HKNS,4830,42.109167,140.6815,23.0,True
V.KRK2,4838,38.940833,140.818,744.0,True
V.KUJG,4827,42.491667,141.128,229.0,True
V.MEAK,4820,,,,False
V.TANS,4826,42.671,141.334333,398.0,True
V.TKU2,8087,39.8255,140.872667,629.0,True
V.UMG2,4834,39.832333,141.040833,521.0,True
V.USSW,4828,42.536667,140.8715,-47.0,True
WACHI,592,,,,False
WAKKA3,652,,,,False
YAGISH,526,,,,False
YAKUM2,677,42.119667,140.3665,120.0,True
YAMAUE,5814,,,,False
YANAIZ,548,,,,False
YASAKA,591,,,,False
YATSUM,541,38.595833,139.7105,200.0,True
YGYUZA,5811,,,,False
YKANEY,540,38.920667,140.355667,220.0,True
YOKOSK,564,,,,False
YTOYOT,617,,,,False
YUWA,654,,,,False
