event_id,time,mag,moment_proxy,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,along_axis_30km,off_axis_30km,m2_related_flag,phase_primary
192,2025-06-08 07:53:35.660000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
193,2025-06-08 08:16:19.420000+00:00,0.5,7079457843.841373,False,False,False,False,False,False,baseline_to_M1_minus14d
194,2025-06-08 08:34:01.640000+00:00,0.6,10000000000.0,False,False,False,False,False,False,baseline_to_M1_minus14d
195,2025-06-08 09:42:45.410000+00:00,0.5,7079457843.841373,False,False,False,False,False,False,baseline_to_M1_minus14d
196,2025-06-08 10:13:42.050000+00:00,1.0,39810717055.34969,True,False,True,False,True,False,baseline_to_M1_minus14d
197,2025-06-08 10:21:50.360000+00:00,1.6,316227766016.83795,False,False,False,False,False,False,baseline_to_M1_minus14d
198,2025-06-08 10:30:40.890000+00:00,0.3,3548133892.335746,False,False,False,False,False,False,baseline_to_M1_minus14d
199,2025-06-08 10:52:12.300000+00:00,0.8,19952623149.688828,False,False,False,False,False,False,baseline_to_M1_minus14d
200,2025-06-08 11:19:25.410000+00:00,0.8,19952623149.688828,False,False,False,False,False,False,baseline_to_M1_minus14d
201,2025-06-08 11:54:26.790000+00:00,1.9,891250938133.744,False,False,False,False,False,False,baseline_to_M1_minus14d
202,2025-06-08 12:59:17.330000+00:00,0.9,28183829312.644493,False,False,False,False,False,False,baseline_to_M1_minus14d
203,2025-06-08 14:29:43.790000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
204,2025-06-08 14:39:08.280000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
205,2025-06-08 14:47:30.930000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
206,2025-06-08 15:27:07.100000+00:00,0.7,14125375446.227497,False,False,False,False,False,False,baseline_to_M1_minus14d
207,2025-06-08 15:51:28.030000+00:00,0.8,19952623149.688828,False,False,False,False,False,False,baseline_to_M1_minus14d
208,2025-06-08 15:58:20.880000+00:00,3.2,79432823472428.22,False,False,False,False,False,False,baseline_to_M1_minus14d
209,2025-06-08 16:05:36.340000+00:00,0.8,19952623149.688828,False,False,False,False,False,False,baseline_to_M1_minus14d
210,2025-06-08 16:44:13.030000+00:00,0.7,14125375446.227497,False,False,False,False,False,False,baseline_to_M1_minus14d
211,2025-06-08 17:38:10.960000+00:00,0.6,10000000000.0,False,False,False,False,False,False,baseline_to_M1_minus14d
212,2025-06-08 18:12:41.240000+00:00,1.4,158489319246.11108,True,True,False,False,True,False,baseline_to_M1_minus14d
213,2025-06-08 19:00:54.460000+00:00,0.9,28183829312.644493,False,False,False,False,False,False,baseline_to_M1_minus14d
214,2025-06-08 19:37:07.560000+00:00,1.7,446683592150.9617,False,False,False,False,False,False,baseline_to_M1_minus14d
215,2025-06-08 20:47:05.620000+00:00,0.8,19952623149.688828,False,False,False,False,False,False,baseline_to_M1_minus14d
216,2025-06-08 21:33:13.440000+00:00,0.3,3548133892.335746,False,False,False,False,False,False,baseline_to_M1_minus14d
217,2025-06-08 22:25:30.240000+00:00,0.3,3548133892.335746,False,False,False,False,False,False,baseline_to_M1_minus14d
218,2025-06-08 22:42:22.200000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
219,2025-06-09 00:45:38.100000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
220,2025-06-09 01:06:06.360000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
221,2025-06-09 01:36:54.550000+00:00,1.2,79432823472.42789,False,False,False,False,False,False,baseline_to_M1_minus14d
222,2025-06-09 03:45:17.900000+00:00,0.2,2511886431.509582,False,False,False,False,False,False,baseline_to_M1_minus14d
223,2025-06-09 03:49:19.280000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
224,2025-06-09 03:56:00.620000+00:00,2.5,7079457843841.373,False,False,False,False,False,False,baseline_to_M1_minus14d
225,2025-06-09 04:51:33.600000+00:00,1.6,316227766016.83795,False,False,False,False,False,False,baseline_to_M1_minus14d
226,2025-06-09 06:01:58.600000+00:00,1.5,223872113856.83377,False,False,False,False,False,False,baseline_to_M1_minus14d
