cell_id,ix,iy,x_left_km,x_right_km,y_bottom_km,y_top_km,x_center_km,y_center_km
394,70,4,463.0,463.5,3925.0,3925.5,463.25,3925.25
395,71,4,463.5,464.0,3925.0,3925.5,463.75,3925.25
396,72,4,464.0,464.5,3925.0,3925.5,464.25,3925.25
397,73,4,464.5,465.0,3925.0,3925.5,464.75,3925.25
398,74,4,465.0,465.5,3925.0,3925.5,465.25,3925.25
399,75,4,465.5,466.0,3925.0,3925.5,465.75,3925.25
400,76,4,466.0,466.5,3925.0,3925.5,466.25,3925.25
401,77,4,466.5,467.0,3925.0,3925.5,466.75,3925.25
402,78,4,467.0,467.5,3925.0,3925.5,467.25,3925.25
403,79,4,467.5,468.0,3925.0,3925.5,467.75,3925.25
404,80,4,468.0,468.5,3925.0,3925.5,468.25,3925.25
405,0,5,428.0,428.5,3925.5,3926.0,428.25,3925.75
406,1,5,428.5,429.0,3925.5,3926.0,428.75,3925.75
407,2,5,429.0,429.5,3925.5,3926.0,429.25,3925.75
408,3,5,429.5,430.0,3925.5,3926.0,429.75,3925.75
409,4,5,430.0,430.5,3925.5,3926.0,430.25,3925.75
410,5,5,430.5,431.0,3925.5,3926.0,430.75,3925.75
411,6,5,431.0,431.5,3925.5,3926.0,431.25,3925.75
412,7,5,431.5,432.0,3925.5,3926.0,431.75,3925.75
413,8,5,432.0,432.5,3925.5,3926.0,432.25,3925.75
414,9,5,432.5,433.0,3925.5,3926.0,432.75,3925.75
