event_id,origin_time,latitude,longitude,depth_km,magnitude,region,npicks
197,2025-06-02T11:17:42.470000Z,42.357833,144.494000,15.360,1.40,SE OFF TOKACHI,21
198,2025-06-02T11:22:38.560000Z,40.375000,141.269000,9.610,-0.10,EASTERN AOMORI PREF,13
199,2025-06-02T11:35:38.370000Z,39.153167,142.461833,25.410,1.00,E OFF IWATE PREF,15
200,2025-06-02T11:41:05.430000Z,39.529167,142.378667,33.680,1.30,E OFF IWATE PREF,27
201,2025-06-02T12:13:30.380000Z,42.342667,144.484667,20.050,1.10,SE OFF TOKACHI,16
202,2025-06-02T12:25:39.140000Z,41.712667,143.712500,8.820,1.40,SE OFF ERIMOMISAKI,19
203,2025-06-02T12:26:04.190000Z,41.592833,142.131500,38.090,1.00,E OFF AOMORI PREF,10
204,2025-06-02T12:39:15.190000Z,38.884667,142.450833,37.610,1.00,E OFF MIYAGI PREF,24
205,2025-06-02T12:58:48.810000Z,41.699000,143.775333,23.220,1.60,SE OFF ERIMOMISAKI,22
206,2025-06-02T13:00:08.420000Z,41.408500,142.485000,39.500,0.90,E OFF AOMORI PREF,8
207,2025-06-02T13:00:43.180000Z,42.294833,144.455333,14.920,1.40,SE OFF TOKACHI,27
208,2025-06-02T13:02:18.500000Z,38.834500,142.441333,37.840,1.00,E OFF MIYAGI PREF,20
209,2025-06-02T13:11:09.210000Z,41.707000,143.779333,18.610,1.40,SE OFF ERIMOMISAKI,20
210,2025-06-02T13:24:35.310000Z,38.539333,141.286667,86.730,1.20,NORTHERN MIYAGI PREF,27
211,2025-06-02T13:52:37.200000Z,38.832833,142.427333,33.940,1.50,E OFF MIYAGI PREF,32
212,2025-06-02T14:16:56.910000Z,41.960667,142.174333,62.620,1.30,S OFF URAKAWA,13
213,2025-06-02T14:53:09.900000Z,41.695000,143.701500,4.000,1.00,SE OFF ERIMOMISAKI,9
214,2025-06-02T15:03:39.610000Z,42.303167,144.491167,10.240,1.10,SE OFF TOKACHI,11
215,2025-06-02T15:10:02.270000Z,39.811167,141.404833,86.050,0.50,NORTHERN IWATE PREF,23
